41002616;41.1161;-7.779095;-0.1357708;0.7176113
41002621;41.11608;-7.779272;-0.1357739;0.717611
41002628;41.11652;-7.779209;-0.1357728;0.7176186
41002632;41.11648;-7.779364;-0.1357755;0.717618
41002643;41.11692;-7.779246;-0.1357735;0.7176257
41002646;41.1169;-7.779409;-0.1357763;0.7176253
41002654;41.11731;-7.779242;-0.1357734;0.7176324
41002657;41.11732;-7.779393;-0.135776;0.7176327
41002663;41.11767;-7.779161;-0.135772;0.7176387
41002668;41.1177;-7.779313;-0.1357746;0.7176392
41002681;41.11805;-7.779021;-0.1357695;0.7176453
41002685;41.11808;-7.779177;-0.1357723;0.7176458
41002718;41.11883;-7.778724;-0.1357643;0.7176589
41002720;41.11887;-7.778914;-0.1357677;0.7176597
41002732;41.1194;-7.778519;-0.1357608;0.717669
41002737;41.11943;-7.778769;-0.1357651;0.7176695
41002764;41.12012;-7.778366;-0.1357581;0.7176816
41002768;41.11979;-7.7787;-0.1357639;0.7176756
41002789;41.12104;-7.778354;-0.1357579;0.7176976
41002809;41.12102;-7.778738;-0.1357646;0.7176972
41002832;41.12195;-7.778635;-0.1357628;0.7177135
41002835;41.12188;-7.779036;-0.1357698;0.7177122
41007772;41.1232;-7.779157;-0.1357719;0.7177352
41007775;41.1231;-7.779611;-0.1357798;0.7177335
41007778;41.12401;-7.779443;-0.1357769;0.7177494
41007783;41.12385;-7.779824;-0.1357835;0.7177466
41007792;41.12444;-7.779501;-0.1357779;0.7177568
41007797;41.12442;-7.779883;-0.1357846;0.7177565
41007808;41.12494;-7.77949;-0.1357777;0.7177656
41007811;41.12499;-7.779821;-0.1357835;0.7177665
41007822;41.12561;-7.779323;-0.1357748;0.7177773
41007825;41.12569;-7.77959;-0.1357795;0.7177787
41007829;41.12629;-7.778959;-0.1357684;0.7177891
41007835;41.12639;-7.779125;-0.1357713;0.717791
41007838;41.12697;-7.778376;-0.1357583;0.717801
41007841;41.12704;-7.778506;-0.1357605;0.7178022
41007850;41.13251;-7.77268;-0.1356589;0.7178977
41007853;41.13257;-7.772809;-0.1356611;0.7178988
41007860;41.13291;-7.772352;-0.1356531;0.7179047
41007864;41.13297;-7.772472;-0.1356552;0.7179058
41007875;41.13319;-7.772225;-0.1356509;0.7179095
41007882;41.13345;-7.772283;-0.1356519;0.717914
41007887;41.13388;-7.772094;-0.1356486;0.7179217
41007892;41.13387;-7.772226;-0.1356509;0.7179215
41007897;41.13603;-7.771954;-0.1356462;0.7179592
41007903;41.13604;-7.772153;-0.1356497;0.7179593
41007914;41.13651;-7.771924;-0.1356457;0.7179676
41007918;41.13651;-7.772088;-0.1356485;0.7179675
41007925;41.13699;-7.771991;-0.1356468;0.7179759
41007928;41.13697;-7.772132;-0.1356493;0.7179756
41007932;41.13758;-7.772213;-0.1356507;0.7179863
41007937;41.13754;-7.772343;-0.135653;0.7179855
41007950;41.13807;-7.772389;-0.1356538;0.7179947
41007952;41.13806;-7.772535;-0.1356563;0.7179946
41007963;41.13858;-7.772428;-0.1356545;0.7180037
41007968;41.13857;-7.772575;-0.135657;0.7180036
41042562;41.13904;-7.772333;-0.1356528;0.7180117
41042566;41.13906;-7.77247;-0.1356552;0.7180121
41042570;41.13948;-7.772221;-0.1356508;0.7180193
41042571;41.1395;-7.772355;-0.1356532;0.7180197
41042576;41.13998;-7.77218;-0.1356501;0.7180281
41042581;41.13997;-7.77232;-0.1356526;0.7180279
41042591;41.14045;-7.772285;-0.135652;0.7180364
41042595;41.14041;-7.772408;-0.1356541;0.7180356
41042603;41.14096;-7.772532;-0.1356563;0.7180453
41042607;41.14091;-7.772654;-0.1356584;0.7180443
41042626;41.14165;-7.772929;-0.1356632;0.7180572
41042638;41.14158;-7.773054;-0.1356654;0.7180561
41042642;41.14242;-7.773403;-0.1356715;0.7180706
41042645;41.14234;-7.773499;-0.1356732;0.7180693
41042654;41.14306;-7.773977;-0.1356815;0.7180819
41042659;41.14299;-7.774066;-0.1356831;0.7180806
41042668;41.1435;-7.774388;-0.1356887;0.7180896
41042672;41.14342;-7.774494;-0.1356905;0.7180882
41042680;41.14394;-7.774659;-0.1356934;0.7180973
41042684;41.14389;-7.774776;-0.1356954;0.7180964
41042690;41.14437;-7.774761;-0.1356952;0.7181048
41042693;41.14436;-7.77491;-0.1356978;0.7181045
41042703;41.14486;-7.774764;-0.1356952;0.7181132
41042705;41.14485;-7.774904;-0.1356977;0.7181131
41042718;41.14535;-7.774716;-0.1356944;0.7181218
41042722;41.14535;-7.774861;-0.1356969;0.7181218
41042736;41.14583;-7.774666;-0.1356935;0.7181302
41042740;41.14584;-7.774806;-0.135696;0.7181303
41042743;41.14661;-7.774602;-0.1356924;0.7181438
41042749;41.14661;-7.774737;-0.1356948;0.7181438
41042759;41.14736;-7.774598;-0.1356923;0.7181569
41042762;41.14736;-7.774743;-0.1356949;0.7181569
41042768;41.14788;-7.774669;-0.1356936;0.7181661
41042773;41.14787;-7.774806;-0.135696;0.7181658
41042780;41.14839;-7.774837;-0.1356965;0.7181749
41042784;41.14833;-7.774954;-0.1356985;0.7181739
41042791;41.14889;-7.775096;-0.135701;0.7181836
41042795;41.14882;-7.775204;-0.1357029;0.7181824
41042803;41.14934;-7.775409;-0.1357065;0.7181914
41042806;41.14928;-7.775528;-0.1357086;0.7181905
41042813;41.15031;-7.776158;-0.1357196;0.7182083
41042817;41.15022;-7.776255;-0.1357213;0.7182069
41042823;41.15096;-7.776591;-0.1357271;0.7182197
41042830;41.15089;-7.776686;-0.1357288;0.7182185
